Trip Name,Start Date,End Date,Duration (Days),Locations,Countries,Category,Description
Demo: Japan Cherry Blossom Tour,2024-03-25,2024-04-08,14,"Tokyo → Kyoto → Osaka → Hiroshima",Japan,leisure,Two-week journey through Japan during sakura season
Demo: European Tech Conference Tour,2024-05-10,2024-05-22,12,"London → Amsterdam → Berlin → Zurich","United Kingdom, Netherlands, Germany, Switzerland",business,Business trip across European tech hubs
Demo: Southeast Asia Backpacking,2024-07-05,2024-08-05,31,"Bangkok → Chiang Mai → Hanoi → Ho Chi Minh City → Siem Reap → Singapore","Thailand, Vietnam, Cambodia, Singapore",adventure,Month-long adventure through Southeast Asia
Demo: Digital Nomad in Portugal,2024-09-01,2024-09-30,30,"Lisbon → Porto",Portugal,nomad,Remote work stint in Lisbon and Porto
Demo: Family Reunion in Australia,2024-12-15,2025-01-05,21,"Sydney → Melbourne → Brisbane",Australia,family,Visiting relatives in Sydney and Melbourne
Demo: Iceland Northern Lights,2024-02-10,2024-02-18,8,"Reykjavik → Vik",Iceland,adventure,Winter adventure chasing aurora borealis
Demo: NYC Weekend Getaway,2024-10-18,2024-10-20,3,New York,United States,leisure,Quick weekend trip to New York City
Demo: South America Explorer,2024-06-01,2024-06-25,24,"Buenos Aires → Mendoza → Santiago → Lima → Cusco","Argentina, Chile, Peru",adventure,Epic journey through South America
Demo: Dubai Business Summit,2024-11-08,2024-11-14,6,Dubai,United Arab Emirates,business,Web3 and AI conference in Dubai
Demo: Mediterranean Cruise,2024-08-10,2024-08-20,10,"Barcelona → Marseille → Rome → Naples → Athens","Spain, France, Italy, Greece",leisure,Relaxing cruise through the Mediterranean
